"Condition","Cells","PseudotimeMin","PseudotimeMax","MeanLog1pNormalizedExpression","MedianLog1pNormalizedExpression","PercentExpressing"
"WT",9328,0,34.8932165980161,0.000132067743643314,0,46.5158662092624
"p38a-dMPC",8785,0,25.2880851242,3.20950436307173e-05,0,16.5167899829254
