package	version
R	4.4.2
Seurat	5.1.0
SeuratObject	5.0.2
monocle3	1.3.1
ggplot2	4.0.1
dplyr	1.1.4
patchwork	1.3.2
ggridges	0.5.6
ggrepel	0.9.6
future	1.34.0
harmony	1.2.3
DoubletFinder	2.0.4
clusterProfiler	4.14.6
GseaVis	0.1.1
GSVA	2.0.0
msigdbr	7.5.1
org.Mm.eg.db	3.20.0
writexl	1.5.1
readxl	1.4.3
