package	version
python	3.10.16
numpy	1.23.5
pandas	2.2.3
scipy	1.15.2
matplotlib	3.10.0
seaborn	0.13.2
anndata	0.11.3
scanpy	1.10.4
statsmodels	0.14.4
numba	0.60.0
scikit-learn	1.6.1
